,Date,Cases
0,2020-03-05,0.0
1,2020-03-07,1.0
2,2020-03-08,1.0
3,2020-03-09,1.0
4,2020-03-11,5.0
5,2020-03-12,6.0
6,2020-03-13,10.0
7,2020-03-14,17.0
8,2020-03-15,24.0
9,2020-03-16,31.0
10,2020-03-17,45.0
11,2020-03-18,61.0
12,2020-03-19,76.0
13,2020-03-20,109.0
14,2020-03-21,125.0
15,2020-03-22,132.0
16,2020-03-23,207.0
17,2020-03-24,302.0
18,2020-03-25,319.0
19,2020-03-26,409.0
20,2020-03-27,
21,2020-03-28,533.0
22,2020-03-29,584.0
23,2020-03-30,618.0
24,2020-03-31,633.0
25,2020-04-01,645.0
26,2020-04-02,663.0
27,2020-04-03,672.0
28,2020-04-04,693.0
29,2020-04-05,704.0
30,2020-04-06,713.0
31,2020-04-07,
32,2020-04-08,782.0
33,2020-04-09,795.0
34,2020-04-10,801.0
35,2020-04-11,813.0
36,2020-04-12,865.0
37,2020-04-13,890.0
38,2020-04-14,909.0
39,2020-04-15,930.0
40,2020-04-16,969.0
41,2020-04-17,1018.0
42,2020-04-18,1101.0
43,2020-04-19,1148.0
44,2020-04-20,1170.0
45,2020-04-21,1199.0
46,2020-04-22,1224.0
47,2020-04-23,1252.0
48,2020-04-24,1281.0
49,2020-04-25,1304.0
50,2020-04-26,1331.0
51,2020-04-27,1353.0
52,2020-04-28,1377.0
53,2020-04-29,1408.0
54,2020-04-30,1446.0
55,2020-05-01,1507.0
56,2020-05-02,1598.0
57,2020-05-03,1624.0
58,2020-05-04,1651.0
59,2020-05-05,1697.0
60,2020-05-06,1720.0
61,2020-05-07,1804.0
62,2020-05-08,1851.0
63,2020-05-09,1910.0
64,2020-05-10,1952.0
65,2020-05-11,1971.0
66,2020-05-12,2014.0
67,2020-05-13,2074.0
68,2020-05-14,2135.0
69,2020-05-15,2210.0
70,2020-05-16,2262.0
71,2020-05-17,2329.0
72,2020-05-18,2343.0
73,2020-05-19,2361.0
74,2020-05-20,2400.0
75,2020-05-21,2453.0
76,2020-05-22,2521.0
77,2020-05-23,2633.0
78,2020-05-24,2773.0
79,2020-05-25,2993.0
80,2020-05-26,3043.0
81,2020-05-27,3167.0
82,2020-05-28,3329.0
83,2020-05-29,3583.0
84,2020-05-30,3773.0
85,2020-05-31,4003.0
86,2020-06-01,4231.0
87,2020-06-02,4276.0
88,2020-06-03,4567.0
89,2020-06-04,4845.0
90,2020-06-05,5215.0
91,2020-06-06,5626.0
92,2020-06-07,5946.0
93,2020-06-08,6258.0
94,2020-06-09,6546.0
95,2020-06-10,7195.0
96,2020-06-11,7953.0
97,2020-06-12,8781.0
98,2020-06-13,9897.0
99,2020-06-14,11164.0
100,2020-06-15,12193.0
101,2020-06-16,13023.0
102,2020-06-17,14620.0
103,2020-06-18,15898.0
104,2020-06-19,17261.0
105,2020-06-20,18978.0
106,2020-06-21,20822.0
107,2020-06-22,22341.0
108,2020-06-23,24041.0
109,2020-06-24,26156.0
110,2020-06-25,28746.0
111,2020-06-26,31344.0
112,2020-06-27,34285.0
113,2020-06-28,36895.0
114,2020-06-29,39841.0
115,2020-06-30,42881.0
116,2020-07-01,45944.0
117,2020-07-02,49937.0
118,2020-07-03,54331.0
119,2020-07-04,59373.0
120,2020-07-05,63404.0
121,2020-07-06,66891.0
122,2020-07-07,71488.0
123,2020-07-08,75015.0
124,2020-07-09,81546.0
125,2020-07-10,87033.0
126,2020-07-11,93044.0
127,2020-07-12,98431.0
128,2020-07-13,103713.0
129,2020-07-14,107070.0
130,2020-07-15,112714.0
131,2020-07-16,117895.0
132,2020-07-17,123408.0
133,2020-07-18,128604.0
134,2020-07-19,133617.0
135,2020-07-20,136879.0
136,2020-07-21,139435.0
137,2020-07-22,144582.0
138,2020-07-23,148854.0
139,2020-07-24,153020.0
140,2020-07-25,156821.0
141,2020-07-26,160154.0
142,2020-07-27,162319.0
143,2020-07-28,164584.0
144,2020-07-29,168369.0
145,2020-07-30,171574.0
146,2020-07-31,175272.0
147,2020-08-01,178119.0
148,2020-08-02,180532.0
149,2020-08-03,181946.0
150,2020-08-04,183090.0
151,2020-08-05,185282.0
152,2020-08-06,187631.0
153,2020-08-07,189159.0
154,2020-08-08,190999.0
155,2020-08-09,192767.0
156,2020-08-10,193561.0
157,2020-08-11,194093.0
158,2020-08-12,194685.0
159,2020-08-13,195820.0
160,2020-08-14,197531.0
161,2020-08-15,198671.0
162,2020-08-16,199635.0
163,2020-08-17,200237.0
164,2020-08-18,200949.0
165,2020-08-19,202011.0
166,2020-08-20,202955.0
167,2020-08-21,203832.0
168,2020-08-22,205246.0
169,2020-08-23,206018.0
170,2020-08-24,206525.0
171,2020-08-25,206892.0
172,2020-08-26,207610.0
173,2020-08-27,208156.0
174,2020-08-28,208579.0
175,2020-08-29,209123.0
176,2020-08-30,209648.0
177,2020-08-31,210169.0
178,2020-09-01,210518.0
179,2020-09-02,211157.0
180,2020-09-03,211678.0
181,2020-09-04,212186.0
182,2020-09-05,212564.0
183,2020-09-06,212898.0
184,2020-09-07,213087.0
185,2020-09-08,213333.0
186,2020-09-09,213741.0
187,2020-09-10,214152.0
188,2020-09-11,214486.0
189,2020-09-12,214831.0
190,2020-09-13,215140.0
191,2020-09-14,215307.0
192,2020-09-15,215481.0
193,2020-09-16,215898.0
194,2020-09-17,216341.0
195,2020-09-18,216790.0
196,2020-09-19,217116.0
197,2020-09-20,217370.0
198,2020-09-21,217485.0
199,2020-09-22,217759.0
200,2020-09-23,218115.0
201,2020-09-24,218420.0
202,2020-09-25,218650.0
203,2020-09-26,218861.0
204,2020-09-27,219039.0
205,2020-09-28,219202.0
206,2020-09-29,219373.0
207,2020-09-30,219704.0
208,2020-10-01,220056.0
209,2020-10-02,220365.0
210,2020-10-03,220696.0
211,2020-10-04,220910.0
212,2020-10-05,221061.0
213,2020-10-06,221320.0
