,Date,Deaths
0,2020-03-27,0
1,2020-03-28,0
2,2020-03-30,0
3,2020-03-31,1
4,2020-04-03,1
5,2020-04-05,1
6,2020-04-06,1
7,2020-04-07,1
8,2020-04-08,3
9,2020-04-09,3
10,2020-04-10,3
11,2020-04-11,3
12,2020-04-12,3
13,2020-04-13,4
14,2020-04-14,4
15,2020-04-15,5
16,2020-04-16,6
17,2020-04-17,6
18,2020-04-18,6
19,2020-04-19,6
20,2020-04-20,7
21,2020-04-21,7
22,2020-04-22,7
23,2020-04-23,8
24,2020-04-24,8
25,2020-04-25,8
26,2020-04-26,8
27,2020-04-27,8
28,2020-04-28,8
29,2020-04-29,11
30,2020-04-30,11
31,2020-05-01,11
32,2020-05-02,12
33,2020-05-03,14
34,2020-05-04,14
35,2020-05-05,15
36,2020-05-06,15
37,2020-05-07,15
38,2020-05-08,18
39,2020-05-09,19
40,2020-05-10,22
41,2020-05-11,22
42,2020-05-12,22
43,2020-05-13,24
44,2020-05-14,24
45,2020-05-15,24
46,2020-05-16,25
47,2020-05-17,25
48,2020-05-18,26
49,2020-05-19,27
50,2020-05-20,27
51,2020-05-21,27
52,2020-05-22,29
53,2020-05-23,29
54,2020-05-24,29
55,2020-05-25,30
56,2020-05-26,31
57,2020-05-27,31
58,2020-05-28,31
59,2020-05-29,31
60,2020-05-30,31
61,2020-05-31,33
62,2020-06-01,33
63,2020-06-02,33
64,2020-06-03,33
65,2020-06-04,33
66,2020-06-05,40
67,2020-06-06,47
68,2020-06-07,47
69,2020-06-08,47
70,2020-06-09,57
71,2020-06-10,57
72,2020-06-11,57
73,2020-06-12,57
74,2020-06-13,81
75,2020-06-14,81
76,2020-06-15,87
77,2020-06-16,87
78,2020-06-17,87
79,2020-06-18,87
80,2020-06-19,114
81,2020-06-20,114
82,2020-06-21,122
83,2020-06-22,122
84,2020-06-23,122
85,2020-06-24,147
86,2020-06-25,149
87,2020-06-26,149
88,2020-06-27,166
89,2020-06-28,174
90,2020-06-29,180
91,2020-06-30,216
92,2020-07-01,244
93,2020-07-02,282
94,2020-07-03,282
95,2020-07-04,282
96,2020-07-05,353
