,Date,Hospitalisations
23872,2020-10-27,22
24127,2020-10-28,12
24382,2020-10-29,20
24637,2020-10-31,2
24892,2020-11-01,1
25147,2020-11-02,9
25402,2020-11-03,16
25657,2020-11-04,11
25912,2020-11-05,20
26167,2020-11-06,12
26422,2020-11-07,1
26677,2020-11-08,3
26932,2020-11-09,12
27187,2020-11-10,15
27442,2020-11-11,12
27697,2020-11-12,12
27952,2020-11-13,7
28207,2020-11-14,2
28462,2020-11-15,1
28717,2020-11-16,14
28972,2020-11-17,25
29227,2020-11-18,16
29482,2020-11-19,19
29737,2020-11-20,15
29992,2020-11-21,5
30247,2020-11-22,1
30502,2020-11-23,13
30757,2020-11-24,24
31012,2020-11-25,18
31267,2020-11-26,16
31522,2020-11-27,13
31777,2020-11-28,2
32032,2020-11-29,1
32287,2020-11-30,20
32542,2020-12-01,36
32797,2020-12-02,33
33052,2020-12-03,26
33307,2020-12-04,40
33562,2020-12-05,8
33817,2020-12-06,1
34072,2020-12-07,26
34327,2020-12-08,55
34582,2020-12-09,57
34837,2020-12-10,51
35092,2020-12-11,77
35347,2020-12-12,18
35602,2020-12-13,26
35857,2020-12-14,58
36110,2020-12-15,88
36363,2020-12-16,10
36616,2020-12-17,82
36869,2020-12-18,103
37122,2020-12-19,27
37375,2020-12-20,12
37628,2020-12-21,107
37881,2020-12-22,110
38134,2020-12-23,110
38387,2020-12-24,80
38640,2020-12-26,18
38893,2020-12-27,20
39146,2020-12-28,61
39399,2020-12-29,91
39652,2020-12-30,115
39905,2020-12-31,211
40158,2021-01-01,132
40411,2021-01-02,101
40664,2021-01-03,52
40917,2021-01-04,159
41170,2021-01-05,106
41423,2021-01-06,114
41676,2021-01-07,69
41929,2021-01-08,108
42182,2021-01-09,82
42435,2021-01-10,41
42688,2021-01-11,195
42941,2021-01-12,221
43194,2021-01-13,228
43447,2021-01-14,246
43700,2021-01-15,226
43953,2021-01-16,91
44206,2021-01-17,133
44459,2021-01-18,128
44712,2021-01-19,211
44965,2021-01-20,177
45218,2021-01-21,201
45471,2021-01-22,152
45724,2021-01-23,119
45977,2021-01-24,85
46230,2021-01-25,84
46483,2021-01-26,139
46751,2021-01-27,120
47439,2021-01-30,88
47692,2021-01-31,55
47963,2021-02-02,98
52023,2021-02-20,28
52276,2021-02-21,14
52529,2021-02-22,40
52782,2021-02-23,64
53035,2021-02-24,50
53288,2021-02-25,65
53541,2021-02-26,52
53794,2021-02-27,36
54047,2021-02-28,15
54300,2021-03-01,20
54553,2021-03-02,30
54806,2021-03-03,56
55059,2021-03-04,51
55312,2021-03-05,31
55565,2021-03-06,21
55818,2021-03-07,9
56071,2021-03-08,29
56324,2021-03-09,39
56577,2021-03-10,28
56830,2021-03-11,25
57083,2021-03-12,30
57561,2021-03-14,4
57814,2021-03-15,10
58067,2021-03-16,30
58320,2021-03-17,36
58573,2021-03-18,27
58826,2021-03-19,21
59079,2021-03-20,18
59332,2021-03-21,7
59585,2021-03-22,11
59838,2021-03-23,17
60091,2021-03-24,25
60344,2021-03-25,21
60597,2021-03-26,35
60850,2021-03-27,16
61103,2021-03-28,10
61356,2021-03-29,20
61609,2021-03-30,29
61862,2021-03-31,41
62115,2021-04-01,29
62368,2021-04-02,12
62621,2021-04-03,2
62874,2021-04-04,0
63127,2021-04-05,2
63380,2021-04-06,23
63633,2021-04-07,12
63886,2021-04-08,27
64139,2021-04-09,36
64392,2021-04-10,24
64645,2021-04-11,15
64898,2021-04-12,26
65151,2021-04-13,28
65404,2021-04-14,38
65657,2021-04-15,35
65910,2021-04-16,28
66163,2021-04-17,7
66416,2021-04-18,10
66669,2021-04-19,22
66922,2021-04-20,30
67175,2021-04-21,48
67428,2021-04-22,32
67681,2021-04-23,38
67934,2021-04-24,15
68187,2021-04-25,12
68440,2021-04-26,16
68693,2021-04-27,9
68946,2021-04-28,30
69199,2021-04-29,36
69452,2021-04-30,33
69705,2021-05-01,32
69958,2021-05-02,10
70211,2021-05-03,26
70464,2021-05-04,28
70717,2021-05-05,40
70970,2021-05-06,44
71223,2021-05-07,41
71476,2021-05-08,37
71729,2021-05-09,22
71982,2021-05-10,23
72235,2021-05-11,63
72488,2021-05-12,43
72741,2021-05-13,63
72994,2021-05-14,39
73247,2021-05-15,27
73725,2021-05-17,48
73978,2021-05-18,43
74231,2021-05-19,79
74484,2021-05-20,60
74737,2021-05-21,50
74990,2021-05-22,46
75243,2021-05-23,47
75496,2021-05-24,68
75749,2021-05-25,99
76002,2021-05-26,121
76255,2021-05-27,108
76508,2021-05-28,112
76761,2021-05-29,67
