Date,Cases,Deaths,Hospitalisations,Cases_diff,Deaths_diff
2020-03-05,0.0,,,,
2020-03-06,,,,,
2020-03-07,1.0,,,,
2020-03-08,1.0,,,0.0,
2020-03-09,1.0,,,0.0,
2020-03-10,,,,,
2020-03-11,5.0,,,,
2020-03-12,6.0,,,1.0,
2020-03-13,10.0,,,4.0,
2020-03-14,17.0,,,7.0,
2020-03-15,24.0,,,7.0,
2020-03-16,31.0,,,7.0,
2020-03-17,45.0,,,14.0,
2020-03-18,61.0,,,16.0,
2020-03-19,76.0,,,15.0,
2020-03-20,109.0,,,33.0,
2020-03-21,125.0,,,16.0,
2020-03-22,132.0,,,7.0,
2020-03-23,207.0,,,75.0,
2020-03-24,302.0,,,95.0,
2020-03-25,319.0,,,17.0,
2020-03-26,409.0,,,90.0,
2020-03-27,,0.0,,,
2020-03-28,533.0,0.0,,,0.0
2020-03-29,584.0,,,51.0,
2020-03-30,618.0,0.0,,34.0,
2020-03-31,633.0,1.0,,15.0,1.0
2020-04-01,645.0,,,12.0,
2020-04-02,663.0,,,18.0,
2020-04-03,672.0,1.0,,9.0,
2020-04-04,693.0,,,21.0,
2020-04-05,704.0,1.0,,11.0,
2020-04-06,713.0,1.0,,9.0,0.0
2020-04-07,,1.0,,,0.0
2020-04-08,782.0,3.0,,,2.0
2020-04-09,795.0,3.0,,13.0,0.0
2020-04-10,801.0,3.0,,6.0,0.0
2020-04-11,813.0,3.0,,12.0,0.0
2020-04-12,865.0,3.0,,52.0,0.0
2020-04-13,890.0,4.0,,25.0,1.0
2020-04-14,909.0,4.0,,19.0,0.0
2020-04-15,930.0,5.0,,21.0,1.0
2020-04-16,969.0,6.0,,39.0,1.0
2020-04-17,1018.0,6.0,,49.0,0.0
2020-04-18,1101.0,6.0,,83.0,0.0
2020-04-19,1148.0,6.0,,47.0,0.0
2020-04-20,1170.0,7.0,,22.0,1.0
2020-04-21,1199.0,7.0,,29.0,0.0
2020-04-22,1224.0,7.0,,25.0,0.0
2020-04-23,1252.0,8.0,,28.0,1.0
2020-04-24,1281.0,8.0,,29.0,0.0
2020-04-25,1304.0,8.0,,23.0,0.0
2020-04-26,1331.0,8.0,,27.0,0.0
2020-04-27,1353.0,8.0,,22.0,0.0
2020-04-28,1377.0,8.0,,24.0,0.0
2020-04-29,1408.0,11.0,,31.0,3.0
2020-04-30,1446.0,11.0,,38.0,0.0
2020-05-01,1507.0,11.0,,61.0,0.0
2020-05-02,1598.0,12.0,,91.0,1.0
2020-05-03,1624.0,14.0,,26.0,2.0
2020-05-04,1651.0,14.0,,27.0,0.0
2020-05-05,1697.0,15.0,,46.0,1.0
2020-05-06,1720.0,15.0,,23.0,0.0
2020-05-07,1804.0,15.0,,84.0,0.0
2020-05-08,1851.0,18.0,,47.0,3.0
2020-05-09,1910.0,19.0,,59.0,1.0
2020-05-10,1952.0,22.0,,42.0,3.0
2020-05-11,1971.0,22.0,,19.0,0.0
2020-05-12,2014.0,22.0,,43.0,0.0
2020-05-13,2074.0,24.0,,60.0,2.0
2020-05-14,2135.0,24.0,,61.0,0.0
2020-05-15,2210.0,24.0,,75.0,0.0
2020-05-16,2262.0,25.0,,52.0,1.0
2020-05-17,2329.0,25.0,,67.0,0.0
2020-05-18,2343.0,26.0,,14.0,1.0
2020-05-19,2361.0,27.0,,18.0,1.0
2020-05-20,2400.0,27.0,,39.0,0.0
2020-05-21,2453.0,27.0,,53.0,0.0
2020-05-22,2521.0,29.0,,68.0,2.0
2020-05-23,2633.0,29.0,,112.0,0.0
2020-05-24,2773.0,29.0,,140.0,0.0
2020-05-25,2993.0,30.0,,220.0,1.0
2020-05-26,3043.0,31.0,,50.0,1.0
2020-05-27,3167.0,31.0,,124.0,0.0
2020-05-28,3329.0,31.0,,162.0,0.0
2020-05-29,3583.0,31.0,,254.0,0.0
2020-05-30,3773.0,31.0,,190.0,0.0
2020-05-31,4003.0,33.0,,230.0,2.0
2020-06-01,4231.0,33.0,,228.0,0.0
2020-06-02,4276.0,33.0,,45.0,0.0
2020-06-03,4567.0,33.0,,291.0,0.0
2020-06-04,4845.0,33.0,,278.0,0.0
2020-06-05,5215.0,40.0,,370.0,7.0
2020-06-06,5626.0,47.0,,411.0,7.0
2020-06-07,5946.0,47.0,,320.0,0.0
2020-06-08,6258.0,47.0,,312.0,0.0
2020-06-09,6546.0,57.0,,288.0,10.0
2020-06-10,7195.0,57.0,,649.0,0.0
2020-06-11,7953.0,57.0,,758.0,0.0
2020-06-12,8781.0,57.0,,828.0,0.0
